,100,Margarita Cristal Rosca,5027
,101,Margarita Cristal Fina,1641
,102,Margarita Cristal Cuadrada,1592
,103,Margarita Cristal Extriada,1648
,104,Margarita Cristal NT,529
,105,Margarita Cristal Hualy,766
,106,Delta Cristal Rosca,2057
,107,Delta Cristal Fipalsa ,0
,108,Delta Cristal Fina,1748
,109,Delta Cristal Cuadrada,170
,110,Delta Cristal NT,1003
,111,Delta Cristal Hualy,0
,112,Delta Cristal Extriada,892
,113,Delta Cristal 1/2 Luna,304
,114,Delta Acrílico Rosca,112
,115,Delta Acrílico Fino,251
,116,Delta Acrílico Extriado,249
,117,Delta Acrílico 1/2 Luna,349
,118,Delta Acrílico cuadrada,383
,119,Mediana Cristal Rosca,807
,120,Mediana Cristal Fina,595
,121,Mediana Cristal Extriada,474
,122,Mediana Cristal Cuadrada,109
,123,Mediana Cristal 1/2 Luna,0
,124,Mediana Acrílica Rosca,354
,125,Mediana Acrílica Fina,1623
,126,Mediana Acrílica Extriada,243
,127,Mediana Acrílica 1/2 Luna,216
,128,Mediana Acrílica NT,80
,129,Mediana Acrílica Cuadrada,158
,130,Mediana Acrílica Hualy,218
,131,Margarita Acrílica Chica Rosca,344
,132,Margarita Acrílica Chica Fina,0
,133,Margarita Acrílica Chica Cuadrada,691
,134,Margarita Acrílica Chica Extriada,620
,135,Margarita Acrílica Chica Hualy,0
,136,Margarita Acrílica Grande Rosca,0
,137,Margarita Acrílica Grande Fina,5
,138,Margarita Acrílica Grande NT,0
,139,Margarita Acrílica Grande Extriada,207
,140,Fuguesa Fina,1022
,141,Fuguesa Extriada,0
,142,Hely Cristal Chica Rosca,1538
,143,Hely Cristal Chica Extriada,498
,144,Hely Cristal Chica Fina,341
,145,Hely Cristal Chica Cuadrada,182
,146,Hely Cristal Chica Hualy,50
,147,Hely Acrílico Chica Rosca,38
,148,Hely Acrílico Chico Fino,0
,149,Hely Acrílico Chico Cuadrado,51
,150,Hely Acrílico Chico Extriado,0
,151,Hely Acrílico Grande Rosca,0
,152,Hely Acrílico Grande Fino,335
,153,Hely Acrílico Grande Cuadrado,54
,154,Hely Acrílico Grande Extriado,0
,155,Hely Acrílico Grande NT,0
,156,Winson Acrílica Grande Rosca,122
,157,Winson Acrílico Grande Fino,172
,158,Winson Acrílico Grande Cuadrado,253
,159,Winson Acrílico Grande Extriado,80
,160,Winson Acrílico Chico Rosca,17
,161,Winson Acrílico Chico Fino,0
,162,Winson Acrilico Chico Cuadrado,0
,163,Winson Acrilico Chico Extriado,0
,164,Winson Cristal Grande Rosca,0
,165,Winson Cristal Grande Fino,0
,166,Winson Cristal Grande Cuadrado,0
,167,Winson Cristal Grande Extriado,0
,168,Winson Cristal Chico Rosca,0
,169,Winson Cristal Chico Fino,0
,170,Winson Cristal Chica Extriada,0
,171,Winson Cristal Chica Cuadrada,0
,172,Niple Macho - ovni,1481
,173,Niple Hembra - corona,3826
,174,Brazos de Ducha Selfi Blanco,442
,175,Brazos de Ducha Selfi Bone,86
,176,Brazos de Ducha Selfi Celeste,130
,177,Brazos de Ducha Selfi Rosado,153
,178,Brazos de Ducha Verde Claro,126
,179,Brazos de Ducha Verde Oscuro,13
,180,Brazos de Ducha Selfi Azul Pastel,187
,181,Brazos de Ducha Selfi Guinda,87
,182,Brazos Españoles,261
,183,Zamak,495
,184,Canoplas,2046
,185,Crucetas,0
,186,Tapitas ,0
,187,Planchuela de Zamak S/Cromar,0
,188,Planchuela de Zamak Cromada,0
,189,Rompechorros,0
,190,Chapitas de galusa,0
,191,Arandelas,0
,192,Tapas grandes,4292
,193,Diamantada Acrílica,434
,194,Manubrios,195
,195,Niple de colores hembra,0
,196,Brazo pesado blanco,121
,197,Brazo pesado de colores,302
,198,Tubo para brazo selfi blanco,0
,199,Tubo para brazo selfi bone,0
,200,Tubo para brazo selfi guinda,0
,201,Tubo para brazo selfi celeste,0
,202,Tubo para brazo selfi rosado,0
,203,Tubo para brazo selfi verde claro,0
,204,Tubo para brazo selfi verde oscuro,0
,205,Tubo para brazo selfi azul pastel,0
,206,Niple de colores hembra,0
,207,Piñones,0
,208,Tuercas para baño,0
,210,Dispensador azul/blanco,0
,210a,Dispensador blanco/blanco,0
,210b,Dispensador negro/blanco,0
,210c,Dispensador blanco/plomo,0
,210d,Dispensador blanco/negro,0
,210e,Dispensador verde/blanco,0
,211,Vasos de cristal,0
,212,Caja de luz negra,45
,213,Caja de luz azul,45